,order_acknowledged_at,order_created_at,order_ready_at,order_value,restaurant_id,number_of_items,minutes_from_acknowledged_to_ready,hour_order_acknowledged_at,day_of_order,value_per_item,country,city,timezone_name,type_of_food,rest_median_order_value,rest_median_number_of_items,rest_median_value_per_item
0,2015-06-01 12:07:10.794050,2015-06-01 09:05:41.642719,2015-06-01 13:02:25.104517,56.3,255,7,55.23850778333334,12,0,8.042857142857143,UK,London,Europe/London,chinese,23.75,3.0,8.142857142857142
1,2015-06-01 20:01:37.821061,2015-06-01 20:01:15.605385,2015-06-01 20:19:07.464277,18.2,255,3,17.494053600000004,20,0,6.066666666666666,UK,London,Europe/London,chinese,23.75,3.0,8.142857142857142
2,2015-06-01 20:04:36.202365,2015-06-01 20:04:07.484337,2015-06-01 20:29:04.983108,43.2,255,4,24.47967905,20,0,10.8,UK,London,Europe/London,chinese,23.75,3.0,8.142857142857142
3,2015-06-01 20:47:34.348035,2015-06-01 20:47:21.734592,2015-06-01 21:09:14.793637,35.8,255,4,21.674093366666668,20,0,8.95,UK,London,Europe/London,chinese,23.75,3.0,8.142857142857142
4,2015-06-01 21:11:51.488954,2015-06-01 21:11:28.190198,2015-06-01 21:32:45.567062,30.0,255,3,20.901301800000002,21,0,10.0,UK,London,Europe/London,chinese,23.75,3.0,8.142857142857142
5,2015-06-03 12:17:14.357417,2015-06-03 12:16:40.460010,2015-06-03 13:44:04.209872,168.2,255,13,86.83087425000001,12,2,12.938461538461537,UK,London,Europe/London,chinese,23.75,3.0,8.142857142857142
6,2015-06-03 12:30:15.882766,2015-06-03 12:29:55.067850,2015-06-03 13:00:17.636023,16.0,255,1,30.029220950000003,12,2,16.0,UK,London,Europe/London,chinese,23.75,3.0,8.142857142857142
7,2015-06-05 13:04:53.779472,2015-06-05 13:04:23.209682,2015-06-05 13:52:15.979534,151.1,255,12,47.37000103333334,13,4,12.591666666666667,UK,London,Europe/London,chinese,23.75,3.0,8.142857142857142
8,2015-06-06 12:16:11.536512,2015-06-06 12:15:33.740344,2015-06-06 13:19:12.368852,136.8,255,13,63.01387233333334,12,5,10.523076923076925,UK,London,Europe/London,chinese,23.75,3.0,8.142857142857142
9,2015-06-06 20:50:06.288226,2015-06-06 20:49:48.346435,2015-06-06 21:00:46.981434,17.4,255,3,10.678220133333333,20,5,5.8,UK,London,Europe/London,chinese,23.75,3.0,8.142857142857142
10,2015-06-08 19:36:05.383585,2015-06-08 19:35:43.957473,2015-06-08 19:53:57.743391,20.6,255,3,17.872663433333337,19,0,6.866666666666667,UK,London,Europe/London,chinese,23.75,3.0,8.142857142857142
11,2015-06-08 20:26:56.848149,2015-06-08 20:26:36.172173,2015-06-08 20:37:41.158249,25.4,255,3,10.738501666666668,20,0,8.466666666666667,UK,London,Europe/London,chinese,23.75,3.0,8.142857142857142
12,2015-06-08 20:40:03.910137,2015-06-08 20:39:50.557976,2015-06-08 20:52:08.433149,25.4,255,3,12.075383533333333,20,0,8.466666666666667,UK,London,Europe/London,chinese,23.75,3.0,8.142857142857142
13,2015-06-08 21:52:57.268714,2015-06-08 21:51:19.704526,2015-06-08 22:07:18.029026,18.2,255,3,14.3460052,21,0,6.066666666666666,UK,London,Europe/London,chinese,23.75,3.0,8.142857142857142
14,2015-06-09 14:46:27.429408,2015-06-09 14:46:03.484651,2015-06-09 14:58:33.185650,20.6,255,3,12.095937366666668,14,1,6.866666666666667,UK,London,Europe/London,chinese,23.75,3.0,8.142857142857142
15,2015-06-09 17:57:47.054681,2015-06-09 17:57:28.868570,2015-06-09 18:12:04.870554,17.8,255,3,14.296931216666668,17,1,5.933333333333334,UK,London,Europe/London,chinese,23.75,3.0,8.142857142857142
16,2015-06-10 18:01:00.910077,2015-06-10 18:00:44.346751,2015-06-10 18:17:11.073243,22.3,255,3,16.1693861,18,2,7.433333333333334,UK,London,Europe/London,chinese,23.75,3.0,8.142857142857142
17,2015-06-13 20:41:46.512923,2015-06-13 20:41:32.715925,2015-06-13 20:50:39.277643,20.6,255,3,8.879412,20,5,6.866666666666667,UK,London,Europe/London,chinese,23.75,3.0,8.142857142857142
18,2015-06-13 22:26:38.111774,2015-06-13 22:26:00.215717,2015-06-13 22:52:06.422439,21.3,255,4,25.47184441666667,22,5,5.325,UK,London,Europe/London,chinese,23.75,3.0,8.142857142857142
19,2015-06-15 18:25:50.500125,2015-06-15 18:25:31.927306,2015-06-15 19:29:58.583897,30.4,255,3,64.13472953333334,18,0,10.133333333333333,UK,London,Europe/London,chinese,23.75,3.0,8.142857142857142
20,2015-06-15 19:38:08.534948,2015-06-15 19:37:53.185062,2015-06-15 20:02:14.756328,23.4,255,3,24.10368966666667,19,0,7.8,UK,London,Europe/London,chinese,23.75,3.0,8.142857142857142
21,2015-06-16 12:01:17.449761,2015-06-16 12:00:56.529988,2015-06-16 12:59:51.644408,18.6,255,2,58.569910783333334,12,1,9.3,UK,London,Europe/London,chinese,23.75,3.0,8.142857142857142
22,2015-06-16 17:04:23.661283,2015-06-16 17:01:48.623991,2015-06-16 18:18:26.050610,22.4,255,3,74.03982211666667,17,1,7.466666666666666,UK,London,Europe/London,chinese,23.75,3.0,8.142857142857142
23,2015-06-16 19:25:24.940995,2015-06-16 19:25:16.616645,2015-06-16 19:41:42.544015,33.6,255,3,16.293383666666667,19,1,11.200000000000001,UK,London,Europe/London,chinese,23.75,3.0,8.142857142857142
24,2015-06-17 20:23:44.091467,2015-06-17 20:22:38.794234,2015-06-17 21:16:50.490747,57.7,255,7,53.10665466666667,20,2,8.242857142857144,UK,London,Europe/London,chinese,23.75,3.0,8.142857142857142
25,2015-06-17 20:43:32.892646,2015-06-17 20:43:03.437542,2015-06-17 20:59:07.326926,17.2,255,3,15.573904666666667,20,2,5.733333333333333,UK,London,Europe/London,chinese,23.75,3.0,8.142857142857142
26,2015-06-19 19:53:35.327214,2015-06-19 19:53:09.744804,2015-06-19 20:10:09.905284,25.4,255,3,16.576301166666667,19,4,8.466666666666667,UK,London,Europe/London,chinese,23.75,3.0,8.142857142857142
27,2015-06-20 21:07:57.451931,2015-06-20 21:07:41.421287,2015-06-20 21:37:08.510809,30.0,255,4,29.184314633333333,21,5,7.5,UK,London,Europe/London,chinese,23.75,3.0,8.142857142857142
28,2015-06-22 20:12:50.778830,2015-06-22 20:12:31.248749,2015-06-22 20:33:03.736880,17.2,255,3,20.2159675,20,0,5.733333333333333,UK,London,Europe/London,chinese,23.75,3.0,8.142857142857142
29,2015-06-22 22:00:54.527056,2015-06-22 22:00:26.598112,2015-06-22 22:23:21.307164,93.4,255,8,22.446335133333335,22,0,11.675,UK,London,Europe/London,chinese,23.75,3.0,8.142857142857142
30,2015-06-29 21:34:17.629256,2015-06-29 21:33:46.416737,2015-06-29 21:56:33.718490,24.1,255,3,22.2681539,21,0,8.033333333333333,UK,London,Europe/London,chinese,23.75,3.0,8.142857142857142
31,2015-06-30 17:20:32.078810,2015-06-30 17:18:44.024850,2015-06-30 17:36:55.130810,21.6,255,2,16.3842,17,1,10.8,UK,London,Europe/London,chinese,23.75,3.0,8.142857142857142
32,2015-06-01 12:07:23.071515,2015-06-01 10:21:10.014098,2015-06-01 12:44:42.909174,147.7,1514,8,37.330627650000004,12,0,18.4625,UK,London,Europe/London,thai,21.5,3.0,7.95
33,2015-06-03 19:48:30.332950,2015-06-03 19:48:08.527384,2015-06-03 19:56:14.422337,27.1,1514,4,7.734823116666667,19,2,6.775,UK,London,Europe/London,thai,21.5,3.0,7.95
34,2015-06-03 21:18:21.718153,2015-06-03 21:17:30.436342,2015-06-03 21:22:53.647625,7.95,1514,1,4.532157866666667,21,2,7.95,UK,London,Europe/London,thai,21.5,3.0,7.95
35,2015-06-05 11:38:33.244904,2015-06-05 11:37:46.097989,2015-06-05 12:59:01.014085,135.65,1514,10,80.46281968333334,11,4,13.565000000000001,UK,London,Europe/London,thai,21.5,3.0,7.95
36,2015-06-12 18:55:10.285995,2015-06-12 18:54:30.864212,2015-06-12 19:07:47.146691,30.2,1514,4,12.614344933333335,18,4,7.55,UK,London,Europe/London,thai,21.5,3.0,7.95
37,2015-06-18 21:23:11.818416,2015-06-18 21:22:42.977983,2015-06-18 21:28:09.381352,26.2,1514,4,4.959382266666667,21,3,6.55,UK,London,Europe/London,thai,21.5,3.0,7.95
38,2015-06-19 21:03:01.530872,2015-06-19 21:02:29.749693,2015-06-19 21:20:43.696130,51.6,1514,6,17.7027543,21,4,8.6,UK,London,Europe/London,thai,21.5,3.0,7.95
39,2015-06-22 18:27:58.387905,2015-06-22 18:27:17.104233,2015-06-22 18:31:20.595913,15.45,1514,2,3.3701334666666667,18,0,7.725,UK,London,Europe/London,thai,21.5,3.0,7.95
40,2015-06-22 19:07:53.070548,2015-06-22 19:07:15.267248,2015-06-22 19:17:27.493344,7.95,1514,1,9.573713266666667,19,0,7.95,UK,London,Europe/London,thai,21.5,3.0,7.95
